variant_id,extractor,runs,avg_words,avg_headings,avg_links,pct_jsonld,pct_aria,pct_semantic,pct_noscript,pct_dsd,pct_microdata,last_run_at
control,ClaudeBot,1,144.0,2.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:41.823572+00
control,curl,1,144.0,2.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:42.209012+00
control,GoogleBot,1,144.0,2.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:42.019886+00
control,GPTBot,1,144.0,2.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:41.290241+00
jsonld,ClaudeBot,1,270.0,2.0,10.0,100.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:42.862757+00
jsonld,curl,1,270.0,2.0,10.0,100.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:43.236858+00
jsonld,GoogleBot,1,270.0,2.0,10.0,100.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:43.048867+00
jsonld,GPTBot,1,270.0,2.0,10.0,100.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:42.535876+00
semantic,ClaudeBot,1,244.0,10.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:43.937643+00
semantic,curl,1,244.0,10.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:44.544974+00
semantic,GoogleBot,1,244.0,10.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:44.151246+00
semantic,GPTBot,1,244.0,10.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:43.578996+00
aria,ClaudeBot,1,144.0,2.0,10.0,0.0,100.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:45.600948+00
aria,curl,1,144.0,2.0,10.0,0.0,100.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:45.981663+00
aria,GoogleBot,1,144.0,2.0,10.0,0.0,100.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:45.785184+00
aria,GPTBot,1,144.0,2.0,10.0,0.0,100.0,100.0,0.0,0.0,0.0,2026-03-31 15:28:45.063713+00
noscript,ClaudeBot,1,351.0,4.0,15.0,0.0,0.0,100.0,100.0,0.0,0.0,2026-03-31 15:28:46.629379+00
noscript,curl,1,351.0,4.0,15.0,0.0,0.0,100.0,100.0,0.0,0.0,2026-03-31 15:28:46.983966+00
noscript,GoogleBot,1,351.0,4.0,15.0,0.0,0.0,100.0,100.0,0.0,0.0,2026-03-31 15:28:46.812803+00
noscript,GPTBot,1,351.0,4.0,15.0,0.0,0.0,100.0,100.0,0.0,0.0,2026-03-31 15:28:46.306314+00
dsd,ClaudeBot,1,3140.0,3.0,10.0,0.0,100.0,100.0,0.0,100.0,0.0,2026-03-31 15:28:47.745092+00
dsd,curl,1,3140.0,3.0,10.0,0.0,100.0,100.0,0.0,100.0,0.0,2026-03-31 15:28:48.305381+00
dsd,GoogleBot,1,3140.0,3.0,10.0,0.0,100.0,100.0,0.0,100.0,0.0,2026-03-31 15:28:48.024089+00
dsd,GPTBot,1,3140.0,3.0,10.0,0.0,100.0,100.0,0.0,100.0,0.0,2026-03-31 15:28:47.419065+00
microdata,ClaudeBot,1,144.0,2.0,10.0,0.0,0.0,100.0,0.0,0.0,100.0,2026-03-31 15:28:48.929733+00
microdata,curl,1,144.0,2.0,10.0,0.0,0.0,100.0,0.0,0.0,100.0,2026-03-31 15:28:49.308749+00
microdata,GoogleBot,1,144.0,2.0,10.0,0.0,0.0,100.0,0.0,0.0,100.0,2026-03-31 15:28:49.11919+00
microdata,GPTBot,1,144.0,2.0,10.0,0.0,0.0,100.0,0.0,0.0,100.0,2026-03-31 15:28:48.614038+00
combined,ClaudeBot,1,3366.0,11.0,10.0,100.0,100.0,100.0,0.0,100.0,100.0,2026-03-31 15:28:50.02292+00
combined,curl,1,3366.0,11.0,10.0,100.0,100.0,100.0,0.0,100.0,100.0,2026-03-31 15:28:50.601972+00
combined,GoogleBot,1,3366.0,11.0,10.0,100.0,100.0,100.0,0.0,100.0,100.0,2026-03-31 15:28:50.318497+00
combined,GPTBot,1,3366.0,11.0,10.0,100.0,100.0,100.0,0.0,100.0,100.0,2026-03-31 15:28:49.684362+00